제품번호|제품명|최저가|최고가|브랜드|메이커|제품링크|용량|메모리방식|동작속도|용도|전압|램타이밍(tRAS)|램타이밍(tRP)|램타이밍(tRCD)|램타이밍(CL)|XMP|방열판|메모리 규격|LED|LED제어시스템|LED동기화
83131715202|삼성 DDR4 8G <b>16G</b> 32G 4G PC4 25600 3200 21300 2666 19200 데스크탑램 메모리|24500||삼성|삼성전자|https://search.shopping.naver.com/catalog/83131715202|||||||||||||||
22433596274|삼성전자 삼성 노트북 DDR4 PC4-25600|23000||삼성|삼성전자|https://search.shopping.naver.com/catalog/22433596274|32GB|DDR4|3,200MHz(PC4-25,600)|노트북용(SO-DIMM)|||||||||||
29975852618|앱코 DDR4 PC4-28800 CL16 AGM R20RH 화이트 패키지|195000||앱코|앱코|https://search.shopping.naver.com/catalog/29975852618|16GB|DDR4|3,600MHz(PC4-28,800)|데스크탑용(DIMM)|1.35V|36|16|16|16|가능|화이트||RGB|AURA SYNC|
29983871618|앱코 DDR4 PC4-25600 CL14 AGM R20RH 화이트 패키지|195000||앱코|앱코|https://search.shopping.naver.com/catalog/29983871618|16GB|DDR4|3,200MHz(PC4-25,600)|데스크탑용(DIMM)|1.35V|34|14|14|14|가능|화이트||RGB|AURA SYNC|
29984814618|앱코 DDR4 PC4-25600 CL16 AGM R20 화이트|79000||앱코|앱코|https://search.shopping.naver.com/catalog/29984814618|16GB|DDR4|3,200MHz(PC4-25,600)|데스크탑용(DIMM)|1.35V|38|20|20|16||||||
18750947392|삼성전자 삼성 DDR4 PC4-21300|24400||삼성|삼성전자|https://search.shopping.naver.com/catalog/18750947392|4GB|DDR4|2,666MHz(PC4-21,300)|데스크탑용(DIMM)|||||||||||
82401564920|삼성정품 DDR4 4G 8G <b>16G</b> 3200 2666 2400 Mhz 노트북 메모리 <b>램</b>|28500||삼성|삼성전자|https://search.shopping.naver.com/catalog/82401564920|||||||||||||||
24948779526|삼성전자 삼성 DDR4 25600 SAM|38020||삼성|삼성전자|https://search.shopping.naver.com/catalog/24948779526||DDR4|||||||||||||
81602284485|삼성 DDR4 노트북 <b>램 16기가</b> 8기가 3200 2666 2400 2133 Mhz메모리|51000||삼성|삼성전자|https://search.shopping.naver.com/catalog/81602284485|||||||||||||||
83317514945|삼성 DDR4 8G <b>16G</b> 32G 4G PC4 2133 2400 2666 3200 데스크탑 <b>램</b> 메모리|24900||삼성|삼성전자|https://search.shopping.naver.com/catalog/83317514945|||||||||||||||